11 Com b,12.1,19,2.243
11 UMi b,12.3,29.79,2.43
14 And b,12.9,11,1.763
14 Her b,12.6,0.93,-0.153
16 Cyg B b,13.5,1.13,0.097
17 Sco b,12.9,25.92,2.254
18 Del b,12.5,8.5,1.602
24 Boo b,13.9,10.64,1.774
24 Sex b,13.4,4.9,1.164
24 Sex c,13.9,4.9,1.164
30 Ari B b,12.3,1.41,0.381
4 UMa b,12.7,18.11,2.062
42 Dra b,13,22.03,2.155
47 UMa b,13.2,1.21,0.198
47 UMa c,14.2,1.21,0.198
47 UMa d,13.5,1.21,0.198
51 Peg b,14.3,1.18,0.136
55 Cnc b,13.9,0.94,-0.197
55 Cnc c,8.51,0.94,-0.197
55 Cnc d,13,0.94,-0.197
55 Cnc e,1.875,0.94,-0.197
55 Cnc f,7.59,0.94,-0.197
6 Lyn b,13.4,5.2,1.176
61 Vir b,2.11,0.96,-0.095
61 Vir c,4.46,0.96,-0.095
61 Vir d,5.11,0.96,-0.095
7 CMa b,13.4,4.87,1.063
7 CMa c,13.9,4.87,1.063
70 Vir b,12.6,1.89,0.451
75 Cet b,13.1,10.5,1.73
8 UMi b,13.6,10.3,1.725
81 Cet b,12.8,11,1.778
91 Aqr b,13.1,11,1.692
BD+03 2562 b,12.7,32.35,2.7
BD+14 4559 b,13.8,0.86,-0.32
BD+15 2375 b,13.8,8.95,1.57
BD+15 2940 b,13.7,14.7,2.01
BD+20 2457 b,12.1,49,3.17
BD+20 2457 c,12.4,49,3.17
BD+20 274 b,13,17.3,1.96
BD+45 564 b,13.6,0.81,-0.399
BD+48 738 b,13.9,11,1.69
BD+48 740 b,13.5,10.33,1.64
BD+49 828 b,13.5,7.6,1.47
BD+55 362 b,14,0.9,-0.313
BD+63 1405 b,12.4,0.8,-0.413
BD-00 4475 b,12,0.84,-0.35
BD-06 1339 b,2.85,0.69,-1.022
BD-06 1339 c,8.38,0.69,-1.022
BD-08 2823 b,3.61,0.71,-0.626
BD-08 2823 c,12.5,0.72,-0.626
BD-10 3166 b,14.1,0.91,-0.191
BD-11 4672 b,14.1,0.64,-0.804
BD-11 4672 c,4.04,0.64,-0.804
BD-13 2130 b,12.5,19.17,2.043
BD-17 63 b,12.8,0.69,-0.678
BD-210397 b,14,0.74,-0.87
BD-210397 c,13.3,0.74,-0.87
CD Cet b,1.82,0.17,-2.533
CI Tau b,12.4,1.88,-0.108
CoRoT-20 c,12.2,1.37,0.006
CoRoT-7 c,2.83,0.86,-0.289
CoRoT-7 d,4.31,0.84,-0.292
DMPP-1 b,5.29,1.26,0.32
DMPP-1 c,3.06,1.26,0.32
DMPP-1 d,1.65,1.26,0.32
DMPP-1 e,1.86,1.26,0.32
DMPP-2 b,14.3,1.78,0.104
DMPP-3 A b,1.41,0.91,-0.293
G 264-012 b,1.39,0.3,-1.972
G 264-012 c,1.76,0.3,-1.972
GJ 1002 b,1.03,0.14,-2.852
GJ 1002 c,1.1,0.14,-2.852
GJ 1061 b,1.1,0.16,-2.77
GJ 1061 c,1.18,0.16,-2.77
GJ 1061 d,1.16,0.16,-2.77
GJ 1132 c,1.43,0.21,-2.359
GJ 1148 b,11.9,0.36,-1.869
GJ 1148 c,9.71,0.36,-1.869
GJ 1151 c,3.25,0.18,-2.48
GJ 1265 b,2.63,0.19,-2.439
GJ 15 A b,1.55,0.38,-1.655
GJ 15 A c,6.67,0.38,-1.655
GJ 160.2 b,3.17,0.66,-0.796
GJ 163 b,3.25,0.41,-1.708
GJ 163 c,2.5,0.41,-1.708
GJ 163 d,5.92,0.41,-1.708
GJ 179 b,13.8,0.38,-1.796
GJ 180 b,2.43,0.41,-1.886
GJ 180 c,2.41,0.41,-1.886
GJ 180 d,2.66,0.41,-1.609
GJ 2030 b,2.03,2.24,0.612
GJ 2030 c,12.3,2.24,0.612
GJ 2056 b,4.17,0.71,-0.905
GJ 229 A c,2.87,0.46,-1.222
GJ 229 b,3.97,0.46,-1.553
GJ 251 b,1.83,0.36,-1.772
GJ 27.1 b,3.66,0.52,-1.585
GJ 273 b,1.51,0.29,-2.056
GJ 273 c,1.06,0.29,-2.056
GJ 3021 b,13.1,0.9,-0.18
GJ 3082 b,2.79,0.47,-1.463
GJ 3138 b,1.18,0.5,-1.347
GJ 3138 c,1.88,0.5,-1.347
GJ 3138 d,3.23,0.5,-1.347
GJ 317 b,13.3,0.43,-1.687
GJ 317 c,13.5,0.43,-1.687
GJ 3222 b,3.4,0.93,-0.252
GJ 328 b,13.3,0.65,-1.08
GJ 328 c,4.91,0.65,-1.08
GJ 3293 b,5.19,0.4,-1.658
GJ 3293 c,4.87,0.4,-1.658
GJ 3293 d,2.67,0.4,-1.658
GJ 3293 e,1.63,0.4,-1.658
GJ 3323 b,1.23,0.12,-2.569
GJ 3323 c,1.32,0.12,-2.569
GJ 3341 b,2.46,0.44,-1.538
GJ 338 B b,3.25,0.58,-1.101
GJ 3470 b,4.57,0.55,-1.538
GJ 3473 c,2.63,0.36,-1.824
GJ 3512 b,14.3,0.14,-2.804
GJ 3512 c,9.32,0.14,-2.804
GJ 357 c,1.66,0.34,-1.798
GJ 357 d,2.34,0.34,-1.798
GJ 3634 b,2.83,0.43,-1.699
GJ 3779 b,2.75,0.28,-2.062
GJ 3929 c,2.26,0.32,-1.963
GJ 393 b,1.17,0.43,-1.571
GJ 3942 b,2.57,0.61,-1.12
GJ 3998 b,1.38,0.49,-1.387
GJ 3998 c,2.38,0.49,-1.387
GJ 411 b,1.45,0.37,-1.71
GJ 414 A b,2.63,0.68,-0.924
GJ 414 A c,8.4,0.68,-0.924
GJ 422 b,3.33,0.37,-1.959
GJ 4276 b,4.22,0.41,-1.706
GJ 433 b,2.33,0.5,-1.699
GJ 433 c,6.27,0.47,-1.699
GJ 433 d,2.14,0.47,-1.475
GJ 436 b,4.17,0.46,-1.585
GJ 463 b,13,0.49,-1.523
GJ 480 b,3.69,0.46,-1.612
GJ 486 b,1.305,0.33,-1.917
GJ 514 b,2.13,0.5,-1.367
GJ 536 b,2.17,0.5,-1.377
GJ 581 b,4.11,0.33,-1.885
GJ 581 c,2.21,0.33,-1.885
GJ 581 e,1.17,0.33,-1.885
GJ 625 b,1.49,0.31,-1.894
GJ 649 b,10.8,0.5,-1.361
GJ 674 b,3.33,0.36,-1.796
GJ 676 A b,12.8,0.69,-1.043
GJ 676 A c,12.3,0.65,-1.043
GJ 676 A d,1.78,0.65,-1.043
GJ 676 A e,2.47,0.65,-1.043
GJ 680 b,12,0.46,-1.514
GJ 682 b,1.93,0.3,-2.699
GJ 682 c,2.89,0.3,-2.699
GJ 685 b,2.95,0.54,-1.253
GJ 687 b,4.32,0.42,-1.672
GJ 687 c,4.14,0.42,-1.672
GJ 720 A b,3.77,0.56,-1.217
GJ 740 b,1.53,0.56,-1.206
GJ 832 b,13.9,0.44,-1.585
GJ 849 b,13.9,0.47,-1.59
GJ 849 c,1.01,0.47,-1.59
GJ 86 b,12.9,0.77,-0.39
GJ 876 b,13.3,0.3,-1.907
GJ 876 c,14,0.3,-1.907
GJ 876 d,2.51,0.3,-1.907
GJ 876 e,3.92,0.3,-1.907
GJ 887 b,1.88,0.47,-1.434
GJ 887 c,2.67,0.47,-1.434
GJ 9066 c,9.6,0.16,-2.595
GJ 96 b,4.67,0.58,-1.052
GJ 9689 b,3.07,0.57,-1.2
GJ 9714 b,12.5,0.66,-0.884
Gl 378 b,3.66,0.56,-1.222
Gl 49 b,2.24,0.51,-1.306
Gl 686 b,2.46,0.43,-1.53
HAT-P-11 c,13.3,0.68,-0.564
HAT-P-13 c,12.3,1.76,0.346
HAT-P-17 c,13.1,0.84,-0.289
HAT-P-44 c,13,0.95,-0.194
HATS-59 c,12.3,1.04,-0.004
HD 100655 b,13.5,10.06,1.633
HD 100777 b,13.8,1.04,0.021
HD 10180 c,3.68,1.11,0.173
HD 10180 d,3.45,1.11,0.173
HD 10180 e,5.39,1.11,0.173
HD 10180 f,5.24,1.11,0.173
HD 10180 g,4.91,1.11,0.173
HD 10180 h,9.4,1.11,0.173
HD 101930 b,10.6,0.86,-0.31
HD 102117 b,8.47,1.23,0.157
HD 102195 b,14.2,0.82,-0.334
HD 102272 b,12.9,10.3,1.662
HD 102329 b,12.6,9.82,1.292
HD 102329 c,13.5,6.3,1.585
HD 102365 b,4.14,0.95,-0.057
HD 102843 b,13.1,0.96,-0.138
HD 102956 b,13.8,4.55,1.064
HD 103197 b,5.83,0.88,-0.328
HD 103720 b,14.1,0.73,-0.458
HD 103774 b,13.3,1.58,0.544
HD 103891 b,13.2,2.22,0.786
HD 103949 b,3.35,0.75,-0.569
HD 104067 b,8.18,0.74,-0.513
HD 10442 b,13.6,1.97,0.31
HD 104985 b,12.6,11,1.778
HD 105618 b,5.44,1.27,0.18
HD 105618 c,11.9,1.27,0.18
HD 105779 b,14.1,0.94,-0.108
HD 106252 b,12.5,1.1,0.123
HD 106270 b,12.4,2.66,0.756
HD 10647 b,13.8,1.1,0.149
HD 106515 A b,12.5,0.91,-0.164
HD 10697 b,12.8,1.86,0.477
HD 107148 b,9.6,1.17,0.121
HD 107148 c,4.7,1.17,0.121
HD 108147 b,10.9,1.21,0.303
HD 108341 b,13.3,0.79,-0.37
HD 108863 b,13.3,5.74,1.225
HD 108874 b,13.6,1.05,-0.001
HD 108874 c,13.8,1.09,-0.001
HD 109246 b,13.9,1.07,0.1
HD 109271 b,4.31,1.29,0.301
HD 109271 c,5.27,1.29,0.301
HD 109286 b,13.2,1.09,-0.084
HD 109749 b,11.1,1.22,0.19
HD 10975 b,14.3,11.16,1.79
HD 109988 b,12.1,0.87,-0.307
HD 110014 b,12.4,20.9,2.304
HD 110113 c,3.23,0.97,-0.032
HD 110537 b,11.9,1.17,0.117
HD 11112 b,12.6,1.47,0.377
HD 111232 b,12.6,0.9,-0.161
HD 111232 c,12.2,0.9,-0.161
HD 111591 b,12.9,8.03,1.581
HD 111998 b,12.9,1.45,0.512
HD 112640 b,12.9,39,2.453
HD 113337 b,13.1,1.5,0.632
HD 113337 c,12.1,1.53,0.62
HD 11343 c,13.9,6.78,1.309
HD 113538 b,13.2,0.53,-1.046
HD 113538 c,13.8,0.53,-1.046
HD 113996 b,12.7,25.11,2.464
HD 114082 b,11.209,1.49,0.583
HD 114386 b,13.7,0.76,-0.54
HD 114613 b,13.1,2.14,0.608
HD 114729 b,13.9,1.47,0.421
HD 114783 b,13.7,0.84,-0.372
HD 114783 c,14.1,0.84,-0.373
HD 11505 b,12.6,1.2,0.151
HD 11506 b,12.9,1.24,0.337
HD 11506 c,13.4,1.34,0.337
HD 11506 d,12.6,1.24,0.337
HD 115404 A b,6.09,0.73,-0.52
HD 115404 A c,12.5,0.73,-0.52
HD 115954 b,12.6,1.21,0.481
HD 116029 b,13.6,4.89,1.053
HD 116029 c,13.7,4.6,1.063
HD 117207 b,13.4,1.07,0.066
HD 11755 b,12.8,20.58,2.169
HD 117618 b,8.59,1.2,0.213
HD 118203 b,13.138,2.06,0.646
HD 11964 b,14.1,2.01,0.459
HD 11964 c,5.38,2.01,0.459
HD 11977 b,12.7,10.09,1.839
HD 120084 b,12.8,9.12,1.64
HD 121504 b,13.6,1.07,0.19
HD 12235 b,3.23,1.8,0.575
HD 12235 c,12.5,1.8,0.575
HD 122562 c,10.1,2.17,0.407
HD 124330 b,14,1.3,0.338
HD 12484 b,13.2,1,0.022
HD 125271 b,12.4,0.75,-0.604
HD 125390 b,11.9,6.47,1.124
HD 125595 b,2.4,0.74,-0.617
HD 125612 b,13.2,1.07,0.06
HD 125612 c,4.07,1.05,0.06
HD 125612 d,12.7,1.05,0.06
HD 12648 b,13.4,11.02,1.753
HD 126525 b,10.3,0.98,-0.04
HD 12661 b,13.3,1.2,0.133
HD 12661 c,13.4,1.11,0.063
HD 126614 b,12.7,1.37,0.083
HD 127506 b,5.67,0.74,-0.663
HD 128311 b,13.5,0.76,-0.512
HD 128311 c,13,0.76,-0.512
HD 128356 b,13.9,0.85,-0.444
HD 129445 b,13.3,1.18,0.09
HD 130322 b,13.7,0.85,-0.235
HD 131496 b,13.4,4.44,0.991
HD 13167 b,13.1,2.39,0.96
HD 13189 b,12.4,38.41,2.636
HD 132406 b,12.7,1.34,0.26
HD 132563 b,13.6,1.3,0.374
HD 133131 A b,13.6,0.96,-0.017
HD 133131 A c,14.3,0.96,-0.017
HD 133131 B b,13.3,0.99,-0.009
HD 134060 b,3.16,1.16,0.158
HD 134060 c,5.91,1.16,0.158
HD 134987 b,13.5,1.22,0.255
HD 134987 c,13.9,1.25,0.255
HD 135872 b,12.8,3.93,0.937
HD 136118 b,12.3,1.68,0.569
HD 136352 b,1.664,1.06,0.016
HD 136352 c,2.916,1.06,0.016
HD 136352 d,2.562,1.06,0.016
HD 136418 b,13.3,3.78,0.833
HD 136925 b,13.9,1.19,0.134
HD 13724 c,8.18,1.04,0.055
HD 137388 b,9.32,0.88,-0.337
HD 137496 c,12.6,1.59,0.366
HD 13808 b,3.35,0.78,-0.435
HD 13808 c,3.13,0.78,-0.435
HD 13908 b,13.9,1.67,0.602
HD 13908 c,12.8,1.67,0.602
HD 13931 b,13.2,1.25,0.196
HD 139357 b,12.1,11.47,1.823
HD 14067 b,12.2,12.4,1.898
HD 140901 b,4.07,0.95,-0.102
HD 140901 c,12.7,0.95,-0.102
HD 141004 b,3.77,1.39,0.346
HD 141399 b,14.3,1.39,0.201
HD 141399 c,13.6,1.39,0.201
HD 141399 d,13.7,1.39,0.201
HD 141399 e,14.1,1.39,0.201
HD 141937 b,12.5,1.03,0.022
HD 142 A d,10.9,1.41,0.474
HD 142 b,13.7,1.47,0.474
HD 142 c,12.4,1.47,0.474
HD 142022 A b,12.9,1.04,0.004
HD 142245 b,13.1,4.63,1.13
HD 142415 b,13.5,1.04,0.06
HD 143105 b,13.7,1.65,0.556
HD 143361 b,12.9,0.92,-0.092
HD 144899 b,4.77,1.65,0.537
HD 145377 b,12.8,1.05,0.193
