AU Mic b,4.07,0.7,-1.046
AU Mic c,3.24,0.75,-1.046
BD+20 594 b,2.578,1.08,-0.056
CoRoT-1 b,16.7,1.11,0.298
CoRoT-10 b,10.87,0.79,-0.726
CoRoT-11 b,16.03,1.37,0.378
CoRoT-12 b,16.14,1.12,0.07
CoRoT-13 b,9.92,1.01,0.073
CoRoT-14 b,12.22,1.21,0.119
CoRoT-16 b,13.11,1.19,-0.435
CoRoT-17 b,11.43,1.59,0.134
CoRoT-18 b,14.68,1,-0.17
CoRoT-19 b,14.46,1.65,0.544
CoRoT-2 b,16.432,0.91,-0.131
CoRoT-20 b,9.416,1.02,0.17
CoRoT-21 b,14.572,1.95,0.705
CoRoT-22 b,4.88,1.14,0.014
CoRoT-23 b,11.77,1.61,0.087
CoRoT-24 b,3.7,0.86,-0.601
CoRoT-24 c,5,0.86,-0.601
CoRoT-25 b,12.11,1.19,0.141
CoRoT-26 b,14.12,1.79,0.451
CoRoT-27 b,11.287,1.08,-0.166
CoRoT-28 b,10.705,1.78,0.388
CoRoT-29 b,10.088,0.9,-0.094
CoRoT-3 b,11.32,1.56,0.391
CoRoT-30 b,11.31,0.91,-0.197
CoRoT-31 b,16.365,2.15,0.398
CoRoT-35 b,18.831,1.65,0.362
CoRoT-36 b,15.805,1.52,0.813
CoRoT-4 b,13.34,1.17,0.185
CoRoT-5 b,15.558,1.19,0.18
CoRoT-6 b,13.068,1.03,0.026
CoRoT-7 b,1.681,0.83,-0.289
CoRoT-8 b,6.39,0.77,-0.4
CoRoT-9 b,11.949,0.96,-0.254
CoRoTID 223977153 b,6.389,0.79,-0.155
DS Tuc A b,5.7,0.96,-0.14
EPIC 201170410.02,1.047,0.28,-1.9
EPIC 201238110 b,1.87,0.37,-1.508
EPIC 201427007 b,1.5,0.94,-0.049
EPIC 201497682 b,0.692,0.55,-0.766
EPIC 201595106 b,1.3,0.93,-0.026
EPIC 201615463 c,1.22,1.6,0.458
EPIC 201754305 d,1.03,0.54,-0.761
EPIC 201757695.02,0.908,0.66,-0.364
EPIC 201833600 c,1,0.63,-0.874
EPIC 201841433 b,1.04,0.63,-0.635
EPIC 205950854 c,1.31,0.83,-0.176
EPIC 206024342 b,1.7,0.82,-0.17
EPIC 206024342 c,1.4,1.1,-0.17
EPIC 206024342 d,2.6,1.1,-0.17
EPIC 206032309 b,1.01,0.37,-1.73
EPIC 206042996 b,1.7,0.5,-0.98
EPIC 206042996 c,1.2,0.5,-0.98
EPIC 206215704 b,1,0.25,-2.088
EPIC 206317286 b,0.96,0.67,-0.593
EPIC 206317286 c,2.094,0.76,-0.593
EPIC 211822797 b,1.92,0.58,-1.153
EPIC 211945201 b,5.76,1.39,0.373
EPIC 212297394 b,1.48,0.8,-0.505
EPIC 212297394 c,2.27,0.8,-0.467
EPIC 212424622 b,2.17,1.22,0.179
EPIC 212499991 b,1.6,0.76,-0.497
EPIC 212587672 b,1.26,0.98,0.006
EPIC 212587672 c,2.32,0.98,0.038
EPIC 212624936 b,1.2,0.93,-0.124
EPIC 212624936 c,2.3,0.93,-0.124
EPIC 212737443 b,2.586,0.67,-0.751
EPIC 212737443 c,2.69,0.67,-0.804
EPIC 220492298 b,0.99,0.89,-0.009
EPIC 220554210 c,1.6,1,-0.215
EPIC 220674823 b,1.725,0.99,-0.119
EPIC 220674823 c,2.836,0.99,-0.119
EPIC 228836835 b,1.1,0.32,-1.612
EPIC 229004835 b,2.332,1,0.03
EPIC 246851721 b,11.781,1.59,0.526
EPIC 248847494 b,12.442,2.7,0.548
EPIC 249893012 b,1.95,1.71,0.356
EPIC 249893012 c,3.67,1.71,0.356
EPIC 249893012 d,3.94,1.71,0.356
G 9-40 b,2.025,0.31,-1.971
GJ 1132 b,1.13,0.21,-2.359
GJ 1214 b,2.742,0.21,-2.337
