AU Mic b,4.07,0.7
AU Mic c,3.24,0.75
BD+20 594 b,2.578,1.08
CoRoT-1 b,16.7,1.11
CoRoT-10 b,10.87,0.79
CoRoT-11 b,16.03,1.37
CoRoT-12 b,16.14,1.12
CoRoT-13 b,9.92,1.01
CoRoT-14 b,12.22,1.21
CoRoT-16 b,13.11,1.19
CoRoT-17 b,11.43,1.59
CoRoT-18 b,14.68,1
CoRoT-19 b,14.46,1.65
CoRoT-2 b,16.432,0.91
CoRoT-20 b,9.416,1.02
CoRoT-21 b,14.572,1.95
CoRoT-22 b,4.88,1.14
CoRoT-23 b,11.77,1.61
CoRoT-24 b,3.7,0.86
CoRoT-24 c,5,0.86
CoRoT-25 b,12.11,1.19
CoRoT-26 b,14.12,1.79
CoRoT-27 b,11.287,1.08
CoRoT-28 b,10.705,1.78
CoRoT-29 b,10.088,0.9
CoRoT-3 b,11.32,1.56
CoRoT-30 b,11.31,0.91
CoRoT-31 b,16.365,2.15
CoRoT-35 b,18.831,1.65
CoRoT-36 b,15.805,1.52
CoRoT-4 b,13.34,1.17
CoRoT-5 b,15.558,1.19
CoRoT-6 b,13.068,1.03
CoRoT-7 b,1.681,0.83
CoRoT-8 b,6.39,0.77
CoRoT-9 b,11.949,0.96
CoRoTID 223977153 b,6.389,0.79
DS Tuc A b,5.7,0.96
EPIC 201170410.02,1.047,0.28
EPIC 201238110 b,1.87,0.37
EPIC 201427007 b,1.5,0.94
EPIC 201497682 b,0.692,0.55
EPIC 201595106 b,1.3,0.93
EPIC 201615463 c,1.22,1.6
EPIC 201754305 d,1.03,0.54
EPIC 201757695.02,0.908,0.66
EPIC 201833600 c,1,0.63
EPIC 201841433 b,1.04,0.63
EPIC 205950854 c,1.31,0.83
EPIC 206024342 b,1.7,0.82
EPIC 206024342 c,1.4,1.1
EPIC 206024342 d,2.6,1.1
EPIC 206032309 b,1.01,0.37
EPIC 206042996 b,1.7,0.5
EPIC 206042996 c,1.2,0.5
EPIC 206215704 b,1,0.25
EPIC 206317286 b,0.96,0.67
EPIC 206317286 c,2.094,0.76
EPIC 211822797 b,1.92,0.58
EPIC 211945201 b,5.76,1.39
EPIC 212297394 b,1.48,0.8
EPIC 212297394 c,2.27,0.8
EPIC 212424622 b,2.17,1.22
EPIC 212499991 b,1.6,0.76
EPIC 212587672 b,1.26,0.98
EPIC 212587672 c,2.32,0.98
EPIC 212624936 b,1.2,0.93
EPIC 212624936 c,2.3,0.93
