# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,
# Thu Jul 13 17:08:39 2023,,
#,,
# User preference: *,,
#,,
# CONSTRAINT:  where (discoverymethod like '%Transit%',,
# CONSTRAINT:  and pl_orbsmaxstr not null,,
# CONSTRAINT:  and st_lumstr not null),,
# CONSTRAINT:  order by pl_name desc,,
#,,
# COLUMN pl_name:        Planet Name,,
# COLUMN discoverymethod: Discovery Method,,
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]),,
# COLUMN st_lum:         Stellar Luminosity [log(Solar)],,
#,,
pl_name,pl_orbsmax,st_lum
pi Men c,0.069,0.16
XO-7 b,0.04421,0.431
XO-6 b,0.0815,0.536
XO-5 b,0.0515,-0.06
XO-4 b,0.05524,0.536
XO-3 b,0.0476,0.706
XO-2 N b,0.0368,-0.088
XO-1 b,0.0488,-0.086
Wolf 503 b,0.05712,-0.676
Wendelstein-2 b,0.0234,-0.834
Wendelstein-1 b,0.0282,-0.938
WTS-2 b,0.01855,-0.288
WTS-1 b,0.047,0.088
WD 1856+534 b,0.0204,-4.12
WASP-99 b,0.0717,0.543
WASP-98 b,0.03762,-0.358
WASP-97 b,0.03303,0.071
WASP-96 b,0.0453,0.032
WASP-95 b,0.03416,0.178
WASP-94 A b,0.055,0.51
WASP-93 b,0.04211,0.618
WASP-92 b,0.0348,0.275
WASP-91 b,0.037,-0.383
WASP-90 b,0.0562,0.63
WASP-89 b,0.0427,-0.343
WASP-88 b,0.06431,0.724
WASP-87 b,0.02946,0.537
WASP-85 A b,0.039,-0.071
WASP-84 c,0.02359,-0.325
WASP-84 b,0.0778,-0.325
WASP-83 b,0.059,-0.05
WASP-82 b,0.0447,0.794
WASP-81 b,0.03908,0.246
WASP-80 b,0.0344,-1.04
WASP-8 b,0.0801,-0.058
WASP-79 b,0.0519,0.664
WASP-78 b,0.03488,0.763
WASP-77 A b,0.02335,-0.129
WASP-76 b,0.033,0.689
WASP-75 b,0.0375,0.304
