#pl_name,#pl_rade,#pl_radeerr1,#pl_radeerr2,#pl_radelim
1RXS J160929.1-210524 b,18.647,,,0
2MASS J01225093-2439505 b,11.209,,,0
2MASS J02192210-3925225 b,16.141,0.336,-0.336,0
55 Cnc e,1.897,0.044,-0.046,0
55 Cnc e,1.915,0.214,-0.214,0
55 Cnc e,1.920,0.080,-0.080,0
55 Cnc e,1.910,0.080,-0.080,0
55 Cnc e,2.173,0.097,-0.098,0
55 Cnc e,1.875,0.029,-0.029,0
55 Cnc e,2.080,0.160,-0.170,0
55 Cnc e,2.000,0.140,-0.140,0
AU Mic b,4.190,0.240,-0.220,0
AU Mic b,4.203,0.202,-0.202,0
AU Mic b,4.070,0.170,-0.170,0
AU Mic b,4.027,0.212,-0.212,0
AU Mic c,2.790,0.310,-0.300,0
AU Mic c,3.240,0.160,-0.160,0
BD+20 594 b,2.355,0.310,-0.167,0
BD+20 594 b,2.230,0.140,-0.110,0
BD+20 594 b,2.578,0.112,-0.112,0
BD+60 1417 b,14.684,0.673,-0.673,0
CFHTWIR-Oph 98 b,20.849,0.560,-0.560,0
COCONUTS-2 b,12.442,0.336,-0.336,0
CT Cha b,24.660,9.080,-6.730,0
CoRoT-1 b,16.700,0.900,-0.900,0
CoRoT-1 b,15.917,2.690,-2.690,0
CoRoT-1 b,17.385,0.729,-0.729,0
CoRoT-1 b,19.223,0.336,-0.336,0
CoRoT-1 b,16.589,0.673,-0.673,0
CoRoT-1 b,20.594,,,0
CoRoT-10 b,10.548,0.953,-0.953,0
CoRoT-10 b,10.873,0.785,-0.785,0
CoRoT-10 b,10.870,0.780,-0.780,0
CoRoT-11 b,15.984,0.650,-0.650,0
CoRoT-11 b,15.581,0.370,-0.370,0
CoRoT-11 b,16.029,0.336,-0.336,0
CoRoT-11 b,16.030,0.340,-0.340,0
CoRoT-12 b,16.140,1.460,-1.460,0
CoRoT-12 b,16.141,1.457,-1.457,0
CoRoT-12 b,17.760,1.228,-1.228,0
CoRoT-12 b,15.132,0.841,-0.841,0
CoRoT-12 b,15.065,0.829,-0.796,0
CoRoT-13 b,9.920,0.157,-0.157,0
CoRoT-13 b,12.533,1.700,-1.700,0
CoRoT-13 b,14.034,0.852,-0.852,0
CoRoT-13 b,9.920,0.157,-0.157,0
CoRoT-14 b,12.220,0.780,-0.780,0
CoRoT-14 b,11.411,0.886,-0.886,0
CoRoT-14 b,12.218,0.785,-0.785,0
CoRoT-16 b,13.110,1.790,-1.570,0
CoRoT-16 b,13.115,1.569,-1.793,0
CoRoT-17 b,11.433,0.785,-0.785,0
CoRoT-17 b,11.287,3.867,-1.031,0
CoRoT-17 b,11.430,0.780,-0.780,0
CoRoT-18 b,15.050,0.533,-0.533,0
CoRoT-18 b,14.684,2.018,-2.018,0
CoRoT-18 b,14.680,2.020,-2.020,0
CoRoT-18 b,12.846,0.437,-0.538,0
CoRoT-18 b,14.022,0.930,-0.930,0
CoRoT-19 b,13.493,0.715,-0.715,0
CoRoT-19 b,14.460,0.340,-0.340,0
CoRoT-19 b,13.339,2.914,-0.773,0
CoRoT-19 b,14.460,0.336,-0.336,0
CoRoT-2 b,16.432,0.471,-0.493,0
CoRoT-2 b,15.850,0.717,-0.717,0
CoRoT-2 b,16.923,1.717,-1.717,0
CoRoT-2 b,16.533,0.347,-0.347,0
CoRoT-2 b,16.365,0.347,-0.347,0
CoRoT-2 b,16.421,0.325,-0.325,0
CoRoT-2 b,16.477,0.359,-0.359,0
CoRoT-2 b,16.432,0.471,-0.493,0
CoRoT-20 b,9.416,0.448,-0.448,0
CoRoT-20 b,15.397,1.328,-1.328,0
CoRoT-20 b,11.209,2.018,-2.354,0
CoRoT-20 b,13.002,2.914,-2.914,0
CoRoT-20 b,9.420,0.450,-0.450,0
CoRoT-21 b,14.572,1.569,-1.569,0
CoRoT-21 b,14.572,1.569,-1.569,0
CoRoT-22 b,4.880,0.170,-0.390,0
CoRoT-23 b,11.770,1.460,-1.460,0
CoRoT-23 b,13.227,2.130,-1.233,0
CoRoT-23 b,11.769,1.457,-1.457,0
CoRoT-24 b,3.700,0.400,-0.400,0
CoRoT-24 c,5.000,0.500,-0.500,0
CoRoT-25 b,12.110,3.400,-1.120,0
CoRoT-25 b,12.106,3.363,-1.121,0
CoRoT-26 b,14.123,1.457,-0.785,0
CoRoT-26 b,14.120,1.460,-0.780,0
CoRoT-27 b,11.287,0.493,-0.493,0
CoRoT-27 b,11.287,0.493,-0.493,0
CoRoT-28 b,10.705,0.740,-0.740,0
CoRoT-28 b,10.705,0.740,-0.740,0
CoRoT-29 b,10.088,1.793,-1.793,0
CoRoT-29 b,10.088,1.793,-1.793,0
CoRoT-3 b,11.321,0.785,-0.785,0
CoRoT-3 b,11.624,0.773,-0.773,0
CoRoT-3 b,11.135,0.650,-0.650,0
CoRoT-3 b,11.320,0.780,-0.780,0
CoRoT-30 b,11.310,0.852,-0.852,0
CoRoT-31 b,16.365,3.363,-3.363,0
CoRoT-35 b,18.831,1.233,-1.233,0
CoRoT-36 b,15.805,1.569,-1.569,0
CoRoT-4 b,13.339,0.616,-0.616,0
CoRoT-4 b,13.002,1.300,-0.471,0
CoRoT-4 b,13.340,0.670,-0.560,0
CoRoT-4 b,13.437,0.485,-0.485,0
CoRoT-5 b,15.558,0.516,-0.527,0
CoRoT-5 b,13.249,1.143,-1.098,0
CoRoT-5 b,15.558,0.516,-0.527,0
CoRoT-5 b,14.079,0.516,-0.504,0
CoRoT-5 b,18.383,2.505,-2.505,0
CoRoT-6 b,13.068,0.392,-0.392,0
CoRoT-6 b,13.070,0.392,-0.392,0
CoRoT-6 b,13.283,0.471,-0.471,0
CoRoT-7 b,1.681,0.112,-0.112,0
CoRoT-7 b,1.580,0.100,-0.100,0
CoRoT-7 b,1.861,0.482,-0.482,0
CoRoT-7 b,1.585,0.064,-0.064,0
CoRoT-7 b,1.680,0.090,-0.090,0
CoRoT-7 b,1.528,0.065,-0.065,0
CoRoT-8 b,6.938,0.179,-0.191,0
CoRoT-8 b,6.390,0.220,-0.220,0
CoRoT-8 b,7.981,0.942,-0.942,0
CoRoT-8 b,6.389,0.224,-0.224,0
CoRoT-9 b,11.770,0.450,-0.450,0
CoRoT-9 b,11.949,0.841,-0.706,0
CoRoT-9 b,11.949,0.841,-0.706,0
CoRoT-9 b,11.624,0.919,-0.919,0
CoRoTID 223977153 b,6.389,0.673,-0.560,0
DH Tau b,30.264,8.967,-8.967,0
DS Tuc A b,5.700,0.170,-0.170,0
DS Tuc A b,5.630,0.220,-0.210,0
DS Tuc A b,6.496,0.497,-0.497,0
EPIC 201170410.02,1.047,0.276,-0.257,0
EPIC 201238110 b,1.870,0.200,-0.450,0
EPIC 201238110 b,2.200,0.540,-0.300,0
EPIC 201427007 b,1.500,0.200,-0.200,0
EPIC 201497682 b,0.692,0.059,-0.048,0
EPIC 201595106 b,1.406,0.208,-0.126,0
EPIC 201595106 b,1.300,0.100,-0.100,0
EPIC 201595106 b,1.200,0.110,-0.100,0
EPIC 201615463 c,1.220,0.210,-0.170,0
EPIC 201754305 d,1.030,0.085,-0.086,0
